,skill,cluster
4646,advise on clay products handling,24
4647,use rigging equipment,6
4648,breed ducks ,0
4649,physical medicine,12
4650,maintain cleanliness in the cloak room,11
4651,maintain manufacturing rooms,6
4652,provide food labelling expertise,13
4653,maintain welfare of animals during transportation,0
4654,surgical instruments,4
4655,inspect concrete structures,7
4656,online job platforms,5
4657,help customers with hair problems,3
4658,Waterfall development,1
4659,manage brand assets,4
4660,work with veterinarians,0
4661,sustainable forest management,6
4662,assist students with library operations,8
4663,plan tanning finishing operations,16
4664,ban cameras,7
4665,legal case management,14
4666,draw blueprints,11
4667,use authentic crafting techniques,2
4668,examine geochemical samples,2
4669,ensure quality assurance for pharmaceutical products,1
4670,operate drones in civil engineering,0
4671,observe shots,7
4672,shellfish cultivation systems,3
4673,advertise new book releases,4
4674,emergency psychology,0
4675,manage warehouse inventory,6
4676,install water reservoir,1
4677,test procedures in electricity transmission,8
4678,advise on personnel management,1
4679,write batch record documentation,22
4680,inspect roofs,6
4681,lighting techniques,16
4682,use solvents,11
4683,plan shots,7
4684,manage kiln ventilation,11
4685,show impartiality,5
4686,rehabilitate worn dentition,12
4687,hydrocarbon cracking techniques,21
4688,sustainable technologies,10
4689,warm blooded animal organs,5
4690,keep heavy construction equipment in good condition,13
4691,attend read-through,4
4692,handle larval weaning process,21
4693,public housing legislation,8
4694,examine animals,0
4695,assist amusement park visitors,19
4696,synthesise information,1
4697,coking process,13
4698,issue waivers,5
4699,use specialised computer models for weather forecasting,21
4700,biomedical techniques,5
4701,assist clients with personal development,3
4702,Slovenian,13
4703,prepare training events for teachers,19
4704,blend tobacco leaves,15
4705,ensure infrastructure accessibility,0
4706,biomedical science,5
4707,develop recreation programmes,19
4708,operate fluff pulp mixing machine,9
4709,design window and glazing systems,7
4710,tend open pans,9
4711,drive steel piles,2
4712,present items during auction,16
4713,monitor condition of hospitalised animals,0
4714,develop food waste reduction strategies,10
4715,Moodle,13
4716,maintain vehicle spare parts,6
4717,heat materials,11
4718,precision engineering,7
4719,maintain water distribution equipment,1
4720,minimise environmental impact on the surrounding area,10
4721,disorders of vital functions,12
4722,approve advertising campaign,13
4723,maintain power plants,17
4724,technical drawings,7
4725,operate metal contaminants detector,24
4726,present legislation proposition,5
4727,calculate tote price,16
4728,fasten safety devices,0
4729,complete administration,1
4730,tend water jet cutter machine,6
4731,landscape design,7
4732,provide written content,2
4733,schedule hatchery supplies,13
4734,maintain rotating equipment,6
4735,maintain professional boundaries in social work,5
4736,market participants,4
4737,environmental engineering,10
4738,conduct energy audit,8
4739,online ads campaign techniques,13
4740,support witnesses,20
4741,understand written Marathi,18
4742,provide accurate information on water routes,1
4743,sports nutrition,0
4744,monitor rail pickup machine,8
4745,manage fuel inventory,17
4746,communicate specialised veterinary information,0
4747,perform reconstructive plastic surgery,12
4748,anticipate logistics requirements for port operations,14
4749,interact verbally in Hungarian,18
4750,heat up vacuum forming medium,21
4751,provide information on study programmes,3
4752,types of wood materials,6
4753,demonstrate products' features,11
4754,operate surveying instruments,2
4755,select equipment required for moving activities,14
4756,set up dates,2
4757,tend meat packaging machine,6
4758,cut footwear uppers,3
4759,select loan objects,8
4760,variety of cheese,21
4761,make up performing artists,23
4762,conduct research across disciplines,13
4763,design landscape schemes,7
4764,load film,7
4765,demining operations,3
4766,assess students' preliminary learning experiences,3
4767,ensure compliance with disclosure criteria of accounting information,8
4768,assemble visual displays,7
4769,plan act lighting,16
4770,balance participants' personal needs with group needs,3
4771,accounting techniques,8
4772,conceptualise healthcare user’s needs,12
4773,inspect maritime operations,3
4774,expand the network of providers,5
4775,geophysics,2
4776,oversee excavation,2
4777,measure metal to be heated,24
4778,analyse the credit history of potential customers,8
4779,conduct polysomnography,4
4780,participate in tourism events,19
4781,manage water distribution procedures,1
4782,install carpet gripper adhesive,24
4783,communicate by telephone,5
4784,inspect sport stadium,0
4785,knowledge management,3
4786,preserve fish samples  for diagnosis,3
4787,customise travel package,3
4788,ship related legislative requirements,3
4789,plant trees,6
4790,types of wave energy converters,17
4791,employ specific paramedic techniques in out-of-hospital care,12
4792,read people,4
4793,unmanned air systems,0
4794,landscaping materials,10
4795,maintain hatchery records,13
4796,solve technical problems,3
4797,carry out storage risk management,19
4798,move completed works,3
4799,produce scanned images,2
4800,sift powder,9
4801,types of bleach,11
4802,build bodies for vehicles ,13
4803,sort textile items,11
4804,promote recreation activities,19
4805,treat wood,6
4806,tobacco manufacturing regulations,15
4807,design integrated circuits,6
4808,perform stock valuation,16
4809,carry out de-icing activities,11
4810,types of propellants,2
4811,mechanics of trolley buses,14
4812,micro mobility devices,9
4813,present decorative drink displays,19
4814,distributed ledger technology,17
4815,perform body searches,3
4816,dismantle scaffolding,19
4817,dispose non-food waste within the food industry,10
4818,develop ICT test suite,5
4819,direct distribution operations,1
4820,check travel documentation,3
4821,viticulture,12
4822,advise on geophysical procedures,2
4823,monitor airport surveillance infrastructure,2
4824,test package,8
4825,keep personal administration,1
4826,lip reading,13
4827,counsel healthcare users on medicines,12
4828,software UI design patterns,2
4829,understand written Albanian,18
4830,monitor coating specifications,11
4831,understand written Walloon,23
4832,interact verbally in Marathi,18
4833,merchandising techniques,2
4834,manage instrumentation systems,6
4835,carry out inventory control accuracy,19
4836,perform process control in the wearing apparel industry,11
4837,tend laser marking machine,16
4838,work with healthcare users under medication,12
4839,aircraft flight control systems,14
4840,"furniture, carpet and lighting equipment products",2
4841,perform acquisition of vehicles,14
4842,use seismometers,2
4843,recommend cosmetics to customers,16
4844,implant brachytherapy treatments,12
4845,ensure compliance with environmental legislation,14
4846,develop a health and safety prevention plan for road transport,0
4847,operate hand drill,2
4848,coordinate construction activities,3
4849,construct cores,9
4850,assist with litigation matters,5
4851,clean toilet facilities,11
4852,legal use-of-force,14
4853,maintain inventory of pesticides,10
4854,manage mine ventilation,11
4855,cut lenses for eyeglasses,7
4856,types of tidal stream generators,17
4857,keep records of work progress,8
4858,assemble telecommunications devices,7
4859,psychological treatment measures,3
4860,enforce railway safety regulations,14
4861,handle knives ,24
4862,apply advanced manufacturing,6
4863,apply medical imaging techniques,7
4864,evaluate cost of software products,19
4865,examine the new-born infant,21
4866,smart contract programming languages,17
4867,blood transfusion,4
4868,comply with regulations related to export in different countries,14
4869,examine civil structures,2
4870,design passive energy measures,17
4871,use cooking techniques,15
4872,inform on fiscal duties,8
4873,maintain data entry requirements,4
4874,international tariffs,14
4875,process medical insurance claims,5
4876,Python (computer programming),2
4877,measure sugar refinement,22
4878,apply quality standards,2
4879,ensure correct gas pressure,22
4880,perform import of commodities,14
4881,operate railway switches,14
4882,maintain machinery,1
4883,operate perforating machine,9
4884,geographical routes,3
4885,facilities management in the organisation,19
4886,compose description for web elements,3
4887,workplace sanitation,11
4888,operate armoured fighting vehicles,5
4889,use chromatography software,1
4890,contribute to an artistic approach,7
4891,protect trees,6
4892,follow hygienic practices in fishery operations,3
4893,assess progress with the artistic team,7
4894,operate automatic cutting systems for footwear and leather goods,24
4895,legal requirements for operating in the automotive retail sector,16
4896,create artificial light,16
4897,have computer literacy,2
4898,acupuncture methods,12
4899,apply spray foam insulation,11
4900,study groundwater,1
4901,lead hard landscape projects,2
4902,advise on safety improvements,0
4903,create sketches,7
4904,handle humanitarian response programs,1
4905,perform risk analysis,14
4906,interact verbally in Gujarati,18
4907,design a domotic system in buildings,18
4908,perform technically demanding tasks,3
